"date","day_of_week","month","year","open","close","high","low"
"20/02/2008","Wednesday","February",2008,62292,63747,63780,61634
"21/02/2008","Thursday","February",2008,63748,63792,64631,63620
"22/02/2008","Friday","February",2008,63780,64609,64609,63360
"25/02/2008","Monday","February",2008,64605,65001,65013,64060
"26/02/2008","Tuesday","February",2008,64994,65183,65399,63983
"27/02/2008","Wednesday","February",2008,65178,65495,65968,64647
"28/02/2008","Thursday","February",2008,65495,65555,66005,65248
"29/02/2008","Friday","February",2008,65553,63489,65553,63482
"03/03/2008","Monday","March",2008,63496,64490,64644,63159
"04/03/2008","Tuesday","March",2008,64486,63656,64530,62745
"05/03/2008","Wednesday","March",2008,63653,64629,65045,63653
"06/03/2008","Thursday","March",2008,64631,62975,64676,62975
"07/03/2008","Friday","March",2008,62973,61868,62973,61382
"10/03/2008","Monday","March",2008,61869,59999,61923,59996
"11/03/2008","Tuesday","March",2008,60006,62368,62368,60006
"12/03/2008","Wednesday","March",2008,62378,62177,63036,62022
"13/03/2008","Thursday","March",2008,62175,62280,62413,60168
"14/03/2008","Friday","March",2008,62280,61991,63028,60710
"17/03/2008","Monday","March",2008,61987,60012,61987,59342
"18/03/2008","Tuesday","March",2008,60040,61933,61933,60040
"19/03/2008","Wednesday","March",2008,61936,58827,62372,58805
"20/03/2008","Thursday","March",2008,58818,58987,59170,57824
"24/03/2008","Monday","March",2008,58994,59813,61083,58994
"25/03/2008","Tuesday","March",2008,59820,61234,61616,59820
"26/03/2008","Wednesday","March",2008,61234,61415,61849,60759
"27/03/2008","Thursday","March",2008,61418,60762,62200,60679
"28/03/2008","Friday","March",2008,60762,60452,61062,60192
"31/03/2008","Monday","March",2008,60449,60968,60982,59917
"01/04/2008","Tuesday","April",2008,60965,62775,62788,60965
"02/04/2008","Wednesday","April",2008,62775,63364,63816,62775
"03/04/2008","Thursday","April",2008,63367,64175,64731,62793
"04/04/2008","Friday","April",2008,64177,64446,64630,63906
"07/04/2008","Monday","April",2008,64447,64176,65409,63919
"08/04/2008","Tuesday","April",2008,64180,64540,64833,63453
"09/04/2008","Wednesday","April",2008,64540,63477,64621,63167
"10/04/2008","Thursday","April",2008,63475,63527,63646,62712
"11/04/2008","Friday","April",2008,63526,62585,63526,62459
"14/04/2008","Monday","April",2008,62592,62153,62733,61467
"15/04/2008","Tuesday","April",2008,62151,62618,62825,62151
"16/04/2008","Wednesday","April",2008,62625,64152,64314,62625
"17/04/2008","Thursday","April",2008,64150,64552,64945,63599
"18/04/2008","Friday","April",2008,64554,64923,65384,64554
"22/04/2008","Tuesday","April",2008,64922,65413,65689,64922
"23/04/2008","Wednesday","April",2008,65413,64948,65689,64914
"24/04/2008","Thursday","April",2008,64946,64576,65086,64223
"25/04/2008","Friday","April",2008,64576,65187,65253,64172
"28/04/2008","Monday","April",2008,65191,65678,66025,65191
"29/04/2008","Tuesday","April",2008,65678,63826,65678,63706
"30/04/2008","Wednesday","April",2008,63826,67868,68038,63826
"02/05/2008","Friday","May",2008,67869,69366,70973,67865
"05/05/2008","Monday","May",2008,69366,70175,70435,69366
"06/05/2008","Tuesday","May",2008,70175,70195,70215,69561
"07/05/2008","Wednesday","May",2008,70201,69018,70545,68599
"08/05/2008","Thursday","May",2008,69021,69722,69877,69014
"09/05/2008","Friday","May",2008,69722,69646,69722,68764
"12/05/2008","Monday","May",2008,69646,70416,70420,69068
"13/05/2008","Tuesday","May",2008,70422,70503,71084,70108
"14/05/2008","Wednesday","May",2008,70495,70027,70966,70027
"15/05/2008","Thursday","May",2008,70031,71492,71492,70031
"16/05/2008","Friday","May",2008,71496,72767,72767,71496
"19/05/2008","Monday","May",2008,72767,73439,73794,72458
"20/05/2008","Tuesday","May",2008,73445,73517,73522,72146
"21/05/2008","Wednesday","May",2008,73508,72295,73780,72150
"23/05/2008","Friday","May",2008,72295,71452,72295,70774
"26/05/2008","Monday","May",2008,71452,71629,71988,71423
"27/05/2008","Tuesday","May",2008,71629,70992,71659,70335
"28/05/2008","Wednesday","May",2008,70995,73153,73180,70734
